Image	Name	Class	Parent	ROI
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Negative	Negative	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Positive	Positive	dlPAG-l	Polygon
