Image	Name	Class	Parent	ROI
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Negative	Negative	vlPAG-r	Polygon
